,index,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude,année,mois,duplicated
752205,2289509,2018-987671,2018-01-24,Vente,600000.0,35.0,,RUE DES PETITS CHAMPS,7348,75001.0,75101,Paris 1er Arrondissement,75,47.98,,,,,1,2.0,Appartement,50.0,2.0,,,,2.336333,48.866621,2018,1,False
752206,2289510,2018-987672,2018-01-15,Vente,460000.0,276.0,,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,,,29.45,,,3,2.0,Appartement,20.0,2.0,,,,2.333387,48.864577000000004,2018,1,False
752208,2289512,2018-987674,2018-01-29,Vente,450000.0,20.0,,RUE SAINT GILLES,8627,75003.0,75103,Paris 3e Arrondissement,75,,36.61,,,,2,2.0,Appartement,37.0,1.0,,,,2.366,48.858213,2018,1,False
752209,2289515,2018-987676,2018-01-25,Vente,270000.0,33.0,,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,25.52,,,,,1,2.0,Appartement,53.0,2.0,,,,2.358309,48.867321000000004,2018,1,False
752211,2289518,2018-987679,2018-01-09,Vente,310000.0,10.0,,RUE DU PONT AUX CHOUX,7605,75003.0,75103,Paris 3e Arrondissement,75,29.03,,,,,1,2.0,Appartement,30.0,2.0,,,,2.365932,48.861209,2018,1,False
752213,2289520,2018-987681,2018-01-12,Vente,1100000.0,5.0,,BD DES FILLES DU CALVAIRE,3642,75003.0,75103,Paris 3e Arrondissement,75,80.88,,,,,1,2.0,Appartement,87.0,3.0,,,,2.366707,48.861521,2018,1,False
752214,2289521,2018-987682,2018-01-10,Vente,35000.0,47.0,,BD DE COURCELLES,2386,75008.0,75108,Paris 8e Arrondissement,75,,,,,,1,2.0,Appartement,135.0,5.0,,,,2.3046439999999997,48.879133,2018,1,False
752215,2289522,2018-987683,2018-01-19,Vente,150000.0,56.0,,RUE DE RICHELIEU,8212,75001.0,75101,Paris 1er Arrondissement,75,13.5,,,,,1,2.0,Appartement,13.0,1.0,,,,2.3374759999999997,48.866524,2018,1,False
752218,2289525,2018-987686,2018-01-15,Vente,780000.0,68.0,,RUE DE ROME,8339,75008.0,75108,Paris 8e Arrondissement,75,89.78,,,,,2,2.0,Appartement,91.0,5.0,,,,2.321661,48.880516,2018,1,False
752219,2289528,2018-987689,2018-01-15,Vente,690000.0,15.0,,RUE VIGNON,9804,75008.0,75108,Paris 8e Arrondissement,75,56.23,,,,,1,2.0,Appartement,54.0,2.0,,,,2.3258959999999997,48.871221999999996,2018,1,False
752220,2289532,2018-987691,2018-01-04,Vente,190000.0,81.0,,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,,20.51,,,,2,2.0,Appartement,20.0,2.0,,,,2.355952,48.861719,2018,1,False
752221,2289533,2018-987692,2018-01-19,Vente,560000.0,127.0,,RUE SAINT DENIS,8525,75001.0,75101,Paris 1er Arrondissement,75,49.7,,,,,2,2.0,Appartement,47.0,3.0,,,,2.349593,48.863227,2018,1,False
752222,2289534,2018-987693,2018-01-08,Vente,267000.0,15.0,,RUE DES VERTUS,9715,75003.0,75103,Paris 3e Arrondissement,75,24.79,,,,,2,2.0,Appartement,27.0,2.0,,,,2.3578080000000003,48.864506,2018,1,False
752223,2289535,2018-987694,2018-01-09,Vente,835000.0,45.0,,RUE DE PONTHIEU,7612,75008.0,75108,Paris 8e Arrondissement,75,77.1,,,,,1,2.0,Appartement,81.0,3.0,,,,2.3066459999999998,48.871446,2018,1,False
752224,2289536,2018-987695,2018-01-19,Vente,35000.0,127.0,,RUE SAINT DENIS,8525,75001.0,75101,Paris 1er Arrondissement,75,10.1,,,,,1,2.0,Appartement,12.0,1.0,,,,2.349593,48.863227,2018,1,False
752225,2289537,2018-987696,2018-01-15,Vente,340000.0,67.0,,RUE DE BRETAGNE,1275,75003.0,75103,Paris 3e Arrondissement,75,25.43,,,,,1,2.0,Appartement,11.0,1.0,,,,2.359834,48.864253000000005,2018,1,False
752226,2289538,2018-987697,2018-01-23,Vente,578750.0,18.0,,RUE AU MAIRE,5927,75003.0,75103,Paris 3e Arrondissement,75,48.05,,,,,3,2.0,Appartement,49.0,3.0,,,,2.356334,48.864762,2018,1,False
752229,2289550,2018-987704,2018-01-30,Vente,300000.0,15.0,,RUE JEAN JACQUES ROUSSEAU,4901,75001.0,75101,Paris 1er Arrondissement,75,23.27,,,,,1,2.0,Appartement,19.0,1.0,,,,2.340218,48.862656,2018,1,False
752230,2289551,2018-987705,2018-01-25,Vente,280000.0,70.0,,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,,23.19,,,,2,2.0,Appartement,25.0,1.0,,,,2.343427,48.861484000000004,2018,1,False
752231,2289553,2018-987707,2018-01-29,Vente,325000.0,38.0,,RUE DE LA SOURDIERE,5368,75001.0,75101,Paris 1er Arrondissement,75,39.45,,,,,1,2.0,Appartement,41.0,2.0,,,,2.333096,48.866973,2018,1,False
752232,2289556,2018-987709,2018-01-15,Vente,250000.0,15.0,,RUE JEAN JACQUES ROUSSEAU,4901,75001.0,75101,Paris 1er Arrondissement,75,,,,,,1,2.0,Appartement,18.0,1.0,,,,2.340218,48.862656,2018,1,False
752233,2289557,2018-987710,2018-01-11,Vente,220000.0,12.0,,RUE DU ROCHER,8291,75008.0,75108,Paris 8e Arrondissement,75,25.93,,,,,1,2.0,Appartement,25.0,2.0,,,,2.323092,48.876197999999995,2018,1,False
752234,2289560,2018-987712,2018-01-09,Vente,290000.0,23.0,,RUE D ARGENTEUIL,0433,75001.0,75101,Paris 1er Arrondissement,75,29.3,,,,,2,2.0,Appartement,23.0,1.0,,,,2.333143,48.866005,2018,1,False
752236,2289562,2018-987714,2018-01-29,Vente,225000.0,23.0,,RUE DES VERTUS,9715,75003.0,75103,Paris 3e Arrondissement,75,20.02,,,,,1,2.0,Appartement,22.0,1.0,,,,2.3579529999999997,48.864738,2018,1,False
752237,2289563,2018-987715,2018-01-15,Vente,308138.0,5.0,,RUE HEROLD,4619,75001.0,75101,Paris 1er Arrondissement,75,19.76,,,,,1,2.0,Appartement,30.0,1.0,,,,2.341171,48.864816,2018,1,False
752238,2289564,2018-987716,2018-01-15,Vente,660000.0,19.0,,RUE CHAPON,1771,75003.0,75103,Paris 3e Arrondissement,75,56.51,,,,,2,2.0,Appartement,52.0,3.0,,,,2.355545,48.863361,2018,1,False
752239,2289567,2018-987718,2018-01-29,Vente,390000.0,14.0,,RUE BARBETTE,0666,75003.0,75103,Paris 3e Arrondissement,75,38.27,,,,,1,2.0,Appartement,40.0,3.0,,,,2.36061,48.859121,2018,1,False
752240,2289568,2018-987719,2018-01-24,Vente,570000.0,6.0,,RUE DE TURIN,9510,75008.0,75108,Paris 8e Arrondissement,75,56.75,,,,,1,2.0,Appartement,60.0,3.0,,,,2.325605,48.879793,2018,1,False
752244,2289572,2018-987722,2018-01-25,Vente,1510000.0,182.0,,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,132.73,,,,,2,2.0,Appartement,133.0,6.0,,,,2.307488,48.874534000000004,2018,1,False
752245,2289573,2018-987723,2018-01-16,Vente,98750.0,127.0,,BD HAUSSMANN,4485,75008.0,75108,Paris 8e Arrondissement,75,12.5,,,,,2,2.0,Appartement,12.0,1.0,,,,2.313628,48.874939000000005,2018,1,False
752246,2289574,2018-987724,2018-01-26,Vente,665000.0,12.0,,RUE D ALGER,0191,75001.0,75101,Paris 1er Arrondissement,75,,53.75,,,,2,2.0,Appartement,53.0,2.0,,,,2.3300669999999997,48.865320000000004,2018,1,False
752247,2289575,2018-987725,2018-01-15,Vente,538550.0,102.0,,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,,43.07,,,,2,2.0,Appartement,30.0,2.0,,,,2.357634,48.862371,2018,1,False
752250,2289579,2018-987729,2018-01-30,Vente,431500.0,32.0,,RUE DE MONTMORENCY,6517,75003.0,75103,Paris 3e Arrondissement,75,45.51,,,,,2,2.0,Appartement,68.0,3.0,,,,2.3543819999999998,48.86338,2018,1,False
752251,2289583,2018-987732,2018-01-24,Vente,290000.0,65.0,,BD MALESHERBES,5951,75008.0,75108,Paris 8e Arrondissement,75,23.75,,,,,1,2.0,Appartement,21.0,1.0,,,,2.317473,48.876358,2018,1,False
752252,2289587,2018-987734,2018-01-24,Vente,376000.0,2.0,,RUE JOSEPH SANSBOEUF,5020,75008.0,75108,Paris 8e Arrondissement,75,39.49,,,,,1,2.0,Appartement,44.0,2.0,,,,2.323079,48.875440000000005,2018,1,False
752255,2289592,2018-987738,2018-01-30,Vente,597000.0,74.0,,RUE DE TURBIGO,9504,75003.0,75103,Paris 3e Arrondissement,75,,61.57,,,,2,2.0,Appartement,62.0,3.0,,,,2.3608130000000003,48.866318,2018,1,False
752256,2289593,2018-987739,2018-01-30,Vente,1330000.0,2.0,,RUE CAFFARELLI,1413,75003.0,75103,Paris 3e Arrondissement,75,77.74,,,,,2,2.0,Appartement,80.0,4.0,,,,2.361818,48.863456,2018,1,False
752257,2289594,2018-987740,2018-02-01,Vente,1500.0,37.0,,RUE DE MONTMORENCY,6517,75003.0,75103,Paris 3e Arrondissement,75,,,,,,1,2.0,Appartement,29.0,2.0,,,,2.353829,48.863274,2018,2,False
752260,2289599,2018-987744,2018-01-22,Vente,145000.0,40.0,,RUE DES GRAVILLIERS,4302,75003.0,75103,Paris 3e Arrondissement,75,17.86,,,,,1,2.0,Appartement,20.0,1.0,,,,2.356274,48.864259000000004,2018,1,False
752261,2289600,2018-987745,2018-01-31,Vente,398000.0,304.0,,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,,,,,,1,2.0,Appartement,43.0,2.0,,,,2.331921,48.86529,2018,1,False
752262,2289601,2018-987746,2018-01-24,Vente,170000.0,10.0,,RUE CAFFARELLI,1413,75003.0,75103,Paris 3e Arrondissement,75,14.49,,,,,1,2.0,Appartement,16.0,1.0,,,,2.362104,48.863618,2018,1,False
752263,2289602,2018-987747,2018-01-18,Vente,1572000.0,10.0,,RUE LAVOISIER,5415,75008.0,75108,Paris 8e Arrondissement,75,183.42,,,,,3,2.0,Appartement,189.0,6.0,,,,2.321145,48.874093,2018,1,False
752264,2289603,2018-987748,2018-02-01,Vente,210000.0,3.0,,RUE SAUVAL,8855,75001.0,75101,Paris 1er Arrondissement,75,26.1,,,,,1,2.0,Appartement,25.0,1.0,,,,2.342212,48.861784,2018,2,False
752265,2289604,2018-987749,2018-01-25,Vente,1083500.0,27.0,,RUE DE PENTHIEVRE,7237,75008.0,75108,Paris 8e Arrondissement,75,103.02,,,,,2,2.0,Appartement,102.0,4.0,,,,2.315275,48.872507,2018,1,False
752266,2289605,2018-987750,2018-01-12,Vente,257000.0,43.0,,RUE BOISSY D ANGLAS,1081,75008.0,75108,Paris 8e Arrondissement,75,,23.96,,,,2,2.0,Appartement,24.0,2.0,,,,2.322366,48.870234,2018,1,False
752268,2289612,2018-987754,2018-01-22,Vente,1767900.0,29.0,,RUE DE LIEGE,5665,75008.0,75108,Paris 8e Arrondissement,75,165.68,,,,,1,2.0,Appartement,190.0,6.0,,,,2.326105,48.879201,2018,1,False
752269,2289613,2018-987755,2018-01-24,Vente,2890000.0,5.0,,RUE DE LA PERLE,7273,75003.0,75103,Paris 3e Arrondissement,75,,136.09,,,,2,2.0,Appartement,120.0,2.0,,,,2.361446,48.859365000000004,2018,1,False
752270,2289617,2018-987757,2018-01-26,Vente,1150000.0,3.0,,RUE ROBERT ESTIENNE,8256,75008.0,75108,Paris 8e Arrondissement,75,99.13,,,,,1,2.0,Appartement,98.0,3.0,,,,2.305181,48.868965,2018,1,False
752271,2289618,2018-987758,2018-01-18,Vente,1817500.0,121.0,,RUE VIEILLE DU TEMPLE,9783,75003.0,75103,Paris 3e Arrondissement,75,147.41,,,,,3,2.0,Appartement,150.0,5.0,,,,2.362501,48.861348,2018,1,False
